GID,X,Y,pop
473,-7.637499969,33.51249987,5370.27
474,-7.629166636,33.51249987,7696.69
483,-7.554166636,33.51249987,2721.26
500,-7.670833303,33.50416653,4114.05
501,-7.662499969,33.50416653,8167.49
502,-7.654166636,33.50416653,8015.01
503,-7.645833303,33.50416653,3759.17
504,-7.637499969,33.50416653,4239.72
505,-7.629166636,33.50416653,7830.37
531,-7.670833303,33.4958332,1308.87
532,-7.662499969,33.4958332,2809.35
533,-7.654166636,33.4958332,2679.18
534,-7.645833303,33.4958332,1730.07
535,-7.637499969,33.4958332,5295.6
536,-7.629166636,33.4958332,6271.84
562,-7.670833303,33.48749987,1493.12
563,-7.662499969,33.48749987,731.524
564,-7.654166636,33.48749987,748.31
565,-7.645833303,33.48749987,825.707
566,-7.637499969,33.48749987,2094.34
567,-7.629166636,33.48749987,3097.3
593,-7.670833303,33.47916653,1425.11
594,-7.662499969,33.47916653,1185.0
595,-7.654166636,33.47916653,1220.7
596,-7.645833303,33.47916653,1582.86
597,-7.637499969,33.47916653,2632.49
598,-7.629166636,33.47916653,1934.31
599,-7.620833303,33.47916653,2206.16
624,-7.670833303,33.4708332,709.418
625,-7.662499969,33.4708332,1391.34
626,-7.654166636,33.4708332,1515.91
