origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
"133","15",7.4464097,1891.5122117,2.9353627,1901.8939841
"133","2",7.4464097,1191.3906202,2.3642810,1201.2013108
"134","1",2.9618790,1002.6121304,2.4901629,1008.0641724
"134","3",2.9618790,808.9171830,3.4647261,815.3437881
"134","16",2.9618790,1090.5830770,2.6653095,1096.2102655
"134","4",2.9618790,441.1982426,0.4822301,444.6423517
"134","10",2.9618790,563.0868356,2.9794628,569.0281774
"134","9",2.9618790,1248.3935668,2.8057399,1254.1611857
"134","12",2.9618790,1248.3935668,2.8057399,1254.1611857
"134","6",2.9618790,1281.9169313,0.6805221,1285.5593325
"134","8",2.9618790,1393.7715378,3.8251580,1400.5585748
"134","5",2.9618790,213.7565571,5.3872645,222.1057006
"134","7",2.9618790,312.1745873,1.3512963,316.4877626
"134","15",2.9618790,1726.3573284,2.9353627,1732.2545701
"134","2",2.9618790,1047.8120006,2.3642810,1053.1381606
"135","1",15.8189199,1001.6967910,2.4901629,1020.0058738
"135","3",15.8189199,760.7030186,3.4647261,779.9866646
"135","16",15.8189199,1093.7791549,2.6653095,1112.2633843
"135","4",15.8189199,495.0253452,0.4822301,511.3264952
"135","10",15.8189199,611.0070157,2.9794628,629.8053984
"135","9",15.8189199,1369.8282021,2.8057399,1388.4528619
"135","12",15.8189199,1369.8282021,2.8057399,1388.4528619
"135","6",15.8189199,1281.0015919,0.6805221,1297.5010340
"135","8",15.8189199,1392.8561984,3.8251580,1412.5002763
"135","5",15.8189199,467.2955546,5.3872645,488.5017390
"135","7",15.8189199,319.3726929,1.3512963,336.5429091
"135","15",15.8189199,1725.3378704,2.9353627,1744.0921529
"135","2",15.8189199,1046.8966612,2.3642810,1065.0798620
"136","1",5.0295184,1017.4183549,2.4901629,1024.9380363
"136","3",5.0295184,737.3061995,3.4647261,745.8004440
"136","16",5.0295184,1123.3892606,2.6653095,1131.0840886
"136","4",5.0295184,663.5760619,0.4822301,669.0878105
"136","10",5.0295184,749.8249295,2.9794628,757.8339107
"136","9",5.0295184,1623.5911978,2.8057399,1631.4264561
"136","12",5.0295184,1623.5911978,2.8057399,1631.4264561
"136","6",5.0295184,1296.7231558,0.6805221,1302.4331964
"136","8",5.0295184,1408.5777623,3.8251580,1417.4324387
"136","5",5.0295184,721.7073107,5.3872645,732.1240937
"136","7",5.0295184,419.4690785,1.3512963,425.8498933
"136","15",5.0295184,1709.1167098,2.9353627,1717.0815910
"136","2",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","1",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","3",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","16",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","4",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","10",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","9",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","12",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","6",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","8",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","5",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","7",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","15",5.0295184,1062.6182251,2.3642810,1070.0120245
"138","2",5.0295184,1062.6182251,2.3642810,1070.0120245
"139","1",1.1129202,901.7346024,2.4901629,905.3376855
"139","3",1.1129202,165.4982240,3.4647261,170.0758703
"139","16",1.1129202,1120.2263045,2.6653095,1124.0045342
"139","4",1.1129202,715.8366160,0.4822301,717.4317663
"139","10",1.1129202,784.1622963,2.9794628,788.2546793
"139","9",1.1129202,1713.6427656,2.8057399,1717.5614256
"139","12",1.1129202,1713.6427656,2.8057399,1717.5614256
"139","6",1.1129202,941.7001731,0.6805221,943.4936155
"139","8",1.1129202,1186.6177656,3.8251580,1191.5558438
"139","5",1.1129202,811.7588785,5.3872645,818.2590632
"139","7",1.1129202,499.9801313,1.3512963,502.4443478
"139","15",1.1129202,1132.3188929,2.9353627,1136.3671758
"139","2",1.1129202,946.3924250,2.3642810,949.8696262
"140","1",3.7664247,946.7222062,2.4901629,952.9787938
"140","3",3.7664247,179.5128470,3.4647261,186.7439977
"140","16",3.7664247,1228.5533421,2.6653095,1234.9850763
"140","4",3.7664247,829.3988032,0.4822301,833.6474580
"140","10",3.7664247,897.7244836,2.9794628,904.4703710
"140","9",3.7664247,1828.5728400,2.8057399,1835.1450045
"140","12",3.7664247,1828.5728400,2.8057399,1835.1450045
"140","6",3.7664247,967.3228381,0.6805221,971.7697850
"140","8",3.7664247,1212.2404306,3.8251580,1219.8320132
"140","5",3.7664247,926.6889529,5.3872645,935.8426420
"140","7",3.7664247,613.5423186,1.3512963,618.6600395
"140","15",3.7664247,1008.5611855,2.9353627,1015.2629728
"140","2",3.7664247,995.3873368,2.3642810,1001.5180425
